uf,codigo_municipio,municipio,taxa_aprovacao_2023,indicador_rendimento_2023,nota_matematica_2023,nota_portugues_2023,nota_media_2023,ideb_2023
MA,2106003,Lima Campos,99.9,0.998493,249.03,249.39,4.973667,5.0
MA,2106102,Loreto,94.0,0.942569,247.91,240.16,4.801167,4.5
MA,2106201,Luís Domingues,92.1,0.919253,243.25,253.56,4.946833,4.5
MA,2106300,Magalhães de Almeida,90.3,0.900462,221.68,236.85,4.308833,3.9
MA,2106326,Maracaçumé,93.0,0.930151,217.08,222.03,3.985167,3.7
MA,2106359,Marajá do Sena,96.0,0.959662,264.12,262.96,5.451333,5.2
MA,2106375,Maranhãozinho,98.7,0.987493,238.31,239.98,4.638167,4.6
MA,2106409,Mata Roma,92.3,0.923263,218.53,222.87,4.023333,3.7
MA,2106508,Matinha,92.6,0.927297,235.46,235.18,4.510667,4.2
MA,2106607,Matões,88.3,0.88013,225.59,227.31,4.215,3.7
MA,2106631,Matões do Norte,89.8,0.89634,231.43,233.03,4.407667,4.0
MA,2106672,Milagres do Maranhão,100.0,1.0,207.59,222.53,3.835333,3.8
MA,2106706,Mirador,92.2,0.920859,214.18,210.89,3.751167,3.5
MA,2106755,Miranda do Norte,98.8,0.98823,235.11,243.25,4.639333,4.6
MA,2106805,Mirinzal,92.7,0.924724,227.55,233.07,4.343667,4.0
MA,2106904,Monção,83.8,0.836989,230.87,240.9,4.5295,3.8
MA,2107001,Montes Altos,87.5,0.875097,237.95,247.82,4.762833,4.2
MA,2107100,Morros,94.8,0.947907,272.58,244.27,5.280833,5.0
MA,2107209,Nina Rodrigues,94.8,0.947633,242.2,241.84,4.734,4.5
MA,2107258,Nova Colinas,98.1,0.981434,245.15,239.88,4.7505,4.7
MA,2107308,Nova Iorque,85.4,0.854443,203.27,209.31,3.543,3.0
MA,2107357,Nova Olinda do Maranhão,94.1,0.940962,234.61,239.29,4.565,4.3
MA,2107407,Olho d'Água das Cunhãs,88.3,0.885093,246.92,260.46,5.123,4.5
MA,2107456,Olinda Nova do Maranhão,95.0,0.950499,223.58,227.35,4.182167,4.0
MA,2107506,Paço do Lumiar,90.9,0.909186,232.87,245.51,4.639667,4.2
MA,2107605,Palmeirândia,89.8,0.89717,210.55,219.8,3.839167,3.4
MA,2107704,Paraibano,87.7,0.87611,230.91,235.68,4.443167,3.9
MA,2107803,Parnarama,84.4,0.847228,273.23,256.67,5.498333,4.7
MA,2107902,Passagem Franca,87.8,0.877474,244.85,245.9,4.845833,4.3
MA,2108009,Pastos Bons,96.5,0.965838,248.33,254.78,5.051833,4.9
MA,2108058,Paulino Neves,92.3,0.923728,244.8,250.96,4.929333,4.6
MA,2108108,Paulo Ramos,94.3,0.943386,224.07,225.65,4.162,3.9
MA,2108207,Pedreiras,96.0,0.959844,237.82,245.58,4.723333,4.5
MA,2108256,Pedro do Rosário,96.1,0.961846,225.36,229.15,4.241833,4.1
MA,2108306,Penalva,89.4,0.894725,244.55,246.33,4.848,4.3
MA,2108405,Peri Mirim,92.9,0.92831,228.91,234.52,4.3905,4.1
